"species","type","mean","n"
"Pf","Single","72.47% [70.49% - 74.37%]","1469/2027"
"Pf/PoW","Double","17.02% [15.45% - 18.72%]","345/2027"
"Pf/Pm","Double","3.50% [2.79% - 4.40%]","71/2027"
"Pf/PoC","Double","2.96% [2.31% - 3.79%]","60/2027"
"Pf/PoW/PoC","Triple","0.99% [0.64% - 1.52%]","20/2027"
"PoW","Single","0.94% [0.60% - 1.46%]","19/2027"
"Pf/Pm/PoW","Triple","0.64% [0.38% - 1.09%]","13/2027"
"PoC","Single","0.49% [0.27% - 0.91%]","10/2027"
"Pm","Single","0.30% [0.14% - 0.64%]","6/2027"
"Pf/Pm/PoC","Triple","0.25% [0.11% - 0.58%]","5/2027"
"Pf/Pm/PoW/PoC","Quadruple","0.15% [0.05% - 0.43%]","3/2027"
"Pm/PoW","Double","0.15% [0.05% - 0.43%]","3/2027"
"PoW/PoC","Double","0.10% [0.03% - 0.36%]","2/2027"
"Pm/PoC","Double","0.05% [0.00% - 0.28%]","1/2027"
"Pm/Poc/Pow","Triple","0.00% [0.00% - 0.19%]","0/2027"
